abandon			[포기하다]
abruptly 		[갑자기]
absolute 		[정말 - 한], [절대] 
absorb  		[흡수하다], [열중시키다]
absorption  		[흡수], [전념]
absurd 			[우스꽝스러운], [불합리한]
accept 			[받아들이다]
acceptable 		[받아들일 수 있는] 
accident 		[사고, 사건, 우연]
accompany 		[동행, 수행하다]
accomplish 		[성취하다]
accomplishment 		[성취, 업적]
according  		[according to, -에 따르면]
accordingly 		[따라서=therefore], [적절히]
account 		[기술, 설명, 계산서, 예금(계좌)]
accountant 		[회계사]
accuse 			[be accused of, -로 비난받다]	
accustomed  		[be accustomed to ], [-에 익숙하다] 
achieve  		[달성하다]   
achievement  		[업적]
acquire 		[얻다] 	
acre 			[넓이의 단위. 약 1224평]
activation  		[활성화, 활동적으로 하기]
active 			[능동적인, 활동적인]  
activity 		[활동, 행동]
actually 		[실제로]       
actual 			[현실의, 실제의]
ad  			[광고]
add 			[덧붙여 말하다]. [부가하다, 더하다]
addition  		[in addition to], [부가, 덧붙임]
admit 			[인정하다]
adopt 			[채택하다] [양자로 삼다]
adult 			[성인, 어른]
adulthood 		[성인기]
advance 		[진보], [나아가다]
advantage 		[take advantage of, 이용하다]
advertiser 		[광고하는 사람]
advertise 		[광고하다] 
affect 			[영향을 미치다]
afford 			[-할 여유가 있다]
afterward 		[그 후에]
against 		[반대하는], [대해서]
agree 			[동의하다]
agreement		[동의]
arm  			[팔, 무기]	
around 			[주위에], [여기저기에, 우회하여]	
artificial 		[인공적인], [부자연스런]
aside 			[곁에 두고, 제쳐두고] 
asleep 			[잠든]		
aspect 			[상황, 양상] 	
assembly 		[조립], [집회], [의회]	
asset 			[재산, 자산]
assist 			[도와주다] 	
assumption 		[가정, 가설]
assuredly 		[확실히] 	
athlete 		[운동선수]	
athletic 		[운동경기의]
atomic 			[원자의]	
atom 			[원자]
attach 			[붙이다, 첨부하다 ↔ detach]
attack 			[공격]		
attempt 		[시도]		
attend 			[출석하다, 참석하다] 
attention  		[주의, 주목]
attitude 		[태도]
attract 		[유인하다, 끌다]       
attractive 		[매혹적인]
audience 		[청중]	
authority 		[권위], [당국]  
author 			[작가, 필자]
autograph 		[자필서명]
automatically 		[자동적으로]
available 		[이용할 수 있는]	
avoid  			[피하다]	
aware  			[be aware -], [-을 알고 있다]  
away 			[사라져, 없어져], [떨어져있는]	
awfully 		[지독히, 대단히]
agricultural 		[농업의]
aid 			[돕다] [원조, 도움]
aim 			[겨누다, 목표삼다], [목표]	
air  			[공기], [대기], [허풍], [방송]
aircraft 		[항공기, 비행기]
algebraic 		[대수의]	
algebra 		[대수학]
alive 			[살아있는] 
ally 			[동맹군] 
along 			[get along], [잘 지내다]
aloud 			[소리내어]
alternative 		[양자택일의], [대안]
although 		[비록 -일지라도] 
altogether 		[전적으로=entirely], [다합하여]
amaze 			[몹시 놀라게 하다]
ambition 		[야심, 큰 뜻]
among  			[-중에] 
amount 			[양], [총액], [a great amount of, 많은]
ancient  		[고대의] 
anger 			[화나게 하다] 
announce 		[알리다, 공고하다]
annoy 			[성가시게 굴다] 
another 		[one another], [또다른 (것, 사람)]
antenna 		[안테나] 
anticipate 		[예상하다, 기대하다]	
anxiety 		[걱정], [염원]
any 			[어떠한], [at any rate, 어쨌든]
anyway 			[어쨌든] 
apart 			[떨어져서, 따로]
apologize  		[사과하다] 	
apparently 		[보기에, 외관상으로는]
apparent 		[분명한], [외견상의] 	
appeal 			[호소하다], [항의하다]	
appear 			[나타나다], [-으로 보이다]   
appearance 		[외모]
applaud 		[박수갈채 하다]		
appliance 		[기구]	
appointment 		[약속], [지정, 임명]
appreciate  		[가치를 인정하다, 감사하다]
appreciation 		[감사, 감상, 진가를 인정함] 	
appreciatively 		[감상력 있게], [감사하게] 
appreciative 		[감식력 있는] 
approach 		[접근(하다)] 
approval 		[승인, 인가]         
approved 		[승인된]
argue 			[주장하다, 논쟁하다]    
argument 		[논쟁]
background 		[배경]
backyard		[뒷뜰]
ball  			[공], [탄환], [무도회]	
barbarism 		[야만]	
barely 			[거의 - 않다], [간신히, 겨우]	
bargain 		[매매, 계약, 싼물건]
barter 			[물물교환 (하다)]	
based 			[-에 기초를 둔] 
basic 			[기본적인]
battlefield 		[전쟁터]
bean 			[콩]
bear 			[참다], [낳다, 포함하다], [곰]
beast 			[짐승]
beat  			[이기다,치다,박자]	
become 			[-이 되다, 어울리다]
bee 			[벌]	
behave 			[행동하다]          
behavior 		[행동]
being 			[존재]	
belief 			[믿음]	            
believe 		[믿다]
belong 			[belong to -에게 속하다]
below 			[~ 보다 아래에, 하위에]
bend 			[구부리다]
beneath 		[~의 바로 밑에]
benefit 		[이익]	
besides 		[게다가]	
big 			[큰], [뽐내는, 허풍떠는]
bill 			[계산서], [지폐], [법안, 의안], [(새의)부리]
bio-mechanical 		[생물 공학적인]
bio-technology 		[생물공학, 인간 공학]
bitter 			[쓴, 쓰라린]
bit 			[소량]
blame 			[be to blame for]	
blanket 		[모포, 담요]	
blind 			[눈먼]
blindly 		[맹목적으로]
bliss 			[축복]	
block 			[블록 - 도로의 구획]
blood 			[피]
blossom 		[꽃]	
blow 			[불다]
blue 			[파란], [우울한]
blunder 		[큰 실수]	
bomb 			[폭탄]
